,r,fc
0,0.0000,1.0
0,0.0050,1.0
0,0.0100,1.0
0,0.0150,1.0
0,0.0200,1.0
0,0.0250,1.0
0,0.0300,1.0
0,0.0350,1.0
0,0.0400,1.0
0,0.0450,0.0
0,0.0500,1.0
0,0.0550,1.0
0,0.0600,1.0
0,0.0650,0.0
0,0.0700,1.0
0,0.0750,1.0
0,0.0800,1.0
0,0.0850,1.0
0,0.0900,1.0
0,0.0950,1.0
0,0.1000,1.0
0,0.1050,1.0
0,0.1100,1.0
0,0.1150,1.0
0,0.1200,1.0
0,0.1250,0.0
0,0.1300,1.0
0,0.1350,1.0
0,0.1400,1.0
0,0.1450,1.0
0,0.1500,1.0
0,0.1550,1.0
0,0.1600,1.0
0,0.1650,1.0
0,0.1700,1.0
0,0.1750,1.0
0,0.1800,1.0
0,0.1850,1.0
0,0.1900,0.0
0,0.1950,0.0
0,0.2000,1.0
0,0.2050,1.0
0,0.2100,1.0
0,0.2150,1.0
0,0.2200,1.0
0,0.2250,1.0
0,0.2300,1.0
0,0.2350,0.0
0,0.2400,1.0
0,0.2450,1.0
0,0.2500,1.0
0,0.2550,1.0
0,0.2600,1.0
0,0.2650,1.0
0,0.2700,1.0
0,0.2750,1.0
0,0.2800,1.0
0,0.2850,1.0
0,0.2900,1.0
0,0.2950,1.0
0,0.3000,1.0
0,0.3050,1.0
0,0.3100,1.0
0,0.3150,1.0
0,0.3200,1.0
0,0.3250,1.0
0,0.3300,1.0
0,0.3350,1.0
0,0.3400,0.0
0,0.3450,1.0
0,0.3500,1.0
0,0.3550,1.0
0,0.3600,1.0
0,0.3650,1.0
0,0.3700,1.0
0,0.3750,1.0
0,0.3800,1.0
0,0.3850,1.0
0,0.3900,1.0
0,0.3950,0.0
0,0.4000,1.0
0,0.4050,1.0
0,0.4100,1.0
0,0.4150,1.0
0,0.4200,1.0
0,0.4250,1.0
0,0.4300,1.0
0,0.4350,1.0
0,0.4400,1.0
0,0.4450,1.0
0,0.4500,1.0
0,0.4550,1.0
0,0.4600,1.0
0,0.4650,1.0
0,0.4700,1.0
0,0.4750,0.0
0,0.4800,1.0
0,0.4850,1.0
0,0.4900,1.0
0,0.4950,1.0
0,0.5000,1.0
0,0.5050,0.0
0,0.5100,0.0
0,0.5150,1.0
0,0.5200,1.0
0,0.5250,0.0
0,0.5300,0.0
0,0.5350,1.0
0,0.5400,1.0
0,0.5450,0.0
0,0.5500,0.0
0,0.5550,1.0
0,0.5600,1.0
0,0.5650,1.0
0,0.5700,1.0
0,0.5750,1.0
0,0.5800,0.0
0,0.5850,1.0
0,0.5900,0.0
0,0.5950,0.0
0,0.6000,1.0
0,0.6050,0.0
0,0.6100,1.0
0,0.6150,0.0
0,0.6200,1.0
0,0.6250,0.0
0,0.6300,1.0
0,0.6350,0.0
0,0.6400,0.0
0,0.6450,1.0
0,0.6500,1.0
0,0.6550,0.0
0,0.6600,1.0
0,0.6650,0.0
0,0.6700,1.0
0,0.6750,0.0
0,0.6800,0.0
0,0.6850,0.0
0,0.6900,0.0
0,0.6950,0.0
0,0.7000,1.0
0,0.7050,1.0
0,0.7100,1.0
0,0.7150,0.0
0,0.7200,1.0
0,0.7250,0.0
0,0.7300,1.0
0,0.7350,1.0
0,0.7400,0.0
0,0.7450,0.0
0,0.7500,0.0
0,0.7550,1.0
0,0.7600,1.0
0,0.7650,0.0
0,0.7700,1.0
0,0.7750,0.0
0,0.7800,0.0
0,0.7850,0.0
0,0.7900,1.0
0,0.7950,0.0
0,0.8000,1.0
0,0.8050,0.0
0,0.8100,0.0
0,0.8150,0.0
0,0.8200,0.0
0,0.8250,0.0
0,0.8300,1.0
0,0.8350,0.0
0,0.8400,0.0
0,0.8450,0.0
0,0.8500,0.0
0,0.8550,1.0
0,0.8600,1.0
0,0.8650,0.0
0,0.8700,0.0
0,0.8750,0.0
0,0.8800,1.0
0,0.8850,0.0
0,0.8900,0.0
0,0.8950,1.0
0,0.9000,0.0
0,0.9050,0.0
0,0.9100,0.0
0,0.9150,1.0
0,0.9200,0.0
0,0.9250,1.0
0,0.9300,0.0
0,0.9350,1.0
0,0.9400,0.0
0,0.9450,0.0
0,0.9500,0.0
0,0.9550,0.0
0,0.9600,1.0
0,0.9650,0.0
0,0.9700,0.0
0,0.9750,0.0
0,0.9800,0.0
0,0.9850,0.0
0,0.9900,0.0
0,0.9950,0.0
0,1.0000,0.0
0,1.0050,1.0
0,1.0100,1.0
0,1.0150,0.0
0,1.0200,0.0
0,1.0250,0.0
0,1.0300,1.0
0,1.0350,0.0
0,1.0400,0.0
0,1.0450,0.0
0,1.0500,0.0
0,1.0550,0.0
0,1.0600,0.0
0,1.0650,0.0
0,1.0700,0.0
0,1.0750,0.0
0,1.0800,0.0
0,1.0850,0.0
0,1.0900,0.0
0,1.0950,0.0
0,1.1000,0.0
0,1.1050,0.0
0,1.1100,1.0
0,1.1150,0.0
0,1.1200,0.0
0,1.1250,0.0
0,1.1300,1.0
0,1.1350,0.0
0,1.1400,1.0
0,1.1450,0.0
0,1.1500,0.0
0,1.1550,0.0
0,1.1600,0.0
0,1.1650,0.0
0,1.1700,0.0
0,1.1750,0.0
0,1.1800,0.0
0,1.1850,0.0
0,1.1900,0.0
0,1.1950,0.0
