,r,fc
0,0.0000,0.19010000000000002
0,0.0020,0.1898
0,0.0040,0.13
0,0.0060,0.18969999999999995
0,0.0080,0.1895
0,0.0100,0.1898
0,0.0120,0.19010000000000002
0,0.0140,0.18039999999999995
0,0.0160,0.1901
0,0.0180,0.18970000000000004
0,0.0200,0.18910000000000007
0,0.0220,0.1797
0,0.0240,0.18989999999999999
0,0.0260,0.0
0,0.0280,0.0
0,0.0300,0.1801
0,0.0320,0.17959999999999998
0,0.0340,0.18000000000000005
0,0.0360,0.1801
0,0.0380,0.18
0,0.0400,0.18069999999999994
0,0.0420,0.1696
0,0.0440,0.17079999999999998
0,0.0460,0.17989999999999998
0,0.0480,0.1796
0,0.0500,0.1603
0,0.0520,0.1804
0,0.0540,0.1699
0,0.0560,0.1698
0,0.0580,0.17009999999999997
0,0.0600,0.18030000000000002
0,0.0620,0.18009999999999998
0,0.0640,0.16979999999999998
0,0.0660,0.17980000000000004
0,0.0680,0.16969999999999996
0,0.0700,0.16979999999999998
0,0.0720,0.17040000000000002
0,0.0740,0.1704
0,0.0760,0.1705
0,0.0780,0.17010000000000003
0,0.0800,0.1698
0,0.0820,0.16949999999999998
0,0.0840,0.1699
0,0.0860,0.0
0,0.0880,0.16979999999999998
0,0.0900,0.0
0,0.0920,0.17039999999999997
0,0.0940,0.0
0,0.0960,0.17009999999999997
0,0.0980,0.16999999999999996
0,0.1000,0.1704
0,0.1020,0.16979999999999998
0,0.1040,0.1709
0,0.1060,0.1606
0,0.1080,0.1598
0,0.1100,0.16959999999999995
0,0.1120,0.1593
0,0.1140,0.1595
0,0.1160,0.17040000000000002
0,0.1180,0.15960000000000002
0,0.1200,0.1603
0,0.1220,0.1599
0,0.1240,0.1602
0,0.1260,0.1602
0,0.1280,0.1598
0,0.1300,0.1603
0,0.1320,0.0
0,0.1340,0.1598
0,0.1360,0.1601
0,0.1380,0.1598
0,0.1400,0.15969999999999998
0,0.1420,0.16029999999999997
0,0.1440,0.1599
0,0.1460,0.0
0,0.1480,0.1603
0,0.1500,0.1602
0,0.1520,0.0
0,0.1540,0.1602
0,0.1560,0.16
0,0.1580,0.0
0,0.1600,0.0
0,0.1620,0.1604
0,0.1640,0.1593
0,0.1660,0.14980000000000002
0,0.1680,0.1597
0,0.1700,0.16010000000000002
0,0.1720,0.16020000000000004
0,0.1740,0.16029999999999997
0,0.1760,0.1606
0,0.1780,0.1604
0,0.1800,0.1503
0,0.1820,0.1604
0,0.1840,0.0
0,0.1860,0.0
0,0.1880,0.14989999999999998
0,0.1900,0.15009999999999998
0,0.1920,0.15990000000000001
0,0.1940,0.15929999999999997
0,0.1960,0.0
0,0.1980,0.1506
0,0.2000,0.1599
0,0.2020,0.1396
0,0.2040,0.14959999999999998
0,0.2060,0.14989999999999998
0,0.2080,0.0
0,0.2100,0.0
0,0.2120,0.1503
0,0.2140,0.1497
0,0.2160,0.14959999999999998
0,0.2180,0.1503
0,0.2200,0.0
0,0.2220,0.0
0,0.2240,0.0
0,0.2260,0.0
0,0.2280,0.1503
0,0.2300,0.1507
0,0.2320,0.0
0,0.2340,0.15
0,0.2360,0.1503
0,0.2380,0.1505
0,0.2400,0.14980000000000002
0,0.2420,0.1495
0,0.2440,0.14980000000000002
0,0.2460,0.1502
0,0.2480,0.1496
0,0.2500,0.0
0,0.2520,0.14959999999999998
0,0.2540,0.0
0,0.2560,0.14959999999999998
0,0.2580,0.1501
0,0.2600,0.0
0,0.2620,0.1505
0,0.2640,0.1499
0,0.2660,0.0
0,0.2680,0.14989999999999998
0,0.2700,0.1503
0,0.2720,0.0
0,0.2740,0.1499
0,0.2760,0.15009999999999998
0,0.2780,0.1502
0,0.2800,0.0
0,0.2820,0.0
0,0.2840,0.15
0,0.2860,0.0
0,0.2880,0.0
0,0.2900,0.15
0,0.2920,0.0
0,0.2940,0.0
0,0.2960,0.0
0,0.2980,0.0
