,r,fc
0,0.0000,0.0
0,0.0100,0.0
0,0.0200,0.0
0,0.0300,0.0
0,0.0400,0.0
0,0.0500,0.0
0,0.0600,0.0
0,0.0700,0.0
0,0.0800,0.0
0,0.0900,0.0
0,0.1000,0.0
0,0.1100,0.0
0,0.1200,0.0
0,0.1300,0.0
0,0.1400,0.0
0,0.1500,0.0
0,0.1600,0.0
0,0.1700,0.0
0,0.1800,1.0
0,0.1900,1.0
0,0.2000,0.0
0,0.2100,0.0
0,0.2200,0.0
0,0.2300,0.0
0,0.2400,0.0
0,0.2500,0.0
0,0.2600,0.0
0,0.2700,0.0
0,0.2800,0.0
0,0.2900,0.0
0,0.3000,0.0
0,0.3100,0.0
0,0.3200,0.0
0,0.3300,0.0
0,0.3400,0.0
0,0.3500,0.7015419999999999
0,0.3600,0.0
0,0.3700,0.0
0,0.3800,0.591792
0,0.3900,0.7426119999999999
0,0.4000,0.0
0,0.4100,0.0
0,0.4200,0.10956599999999998
0,0.4300,0.0
0,0.4400,0.0
0,0.4500,1.0
0,0.4600,0.0
0,0.4700,0.13044
0,0.4800,0.403484
0,0.4900,0.755866
0,0.5000,0.413214
0,0.5100,0.69502
0,0.5200,1.0
0,0.5300,0.8321560000000001
0,0.5400,1.0
0,0.5500,1.0
0,0.5600,0.8029940000000001
0,0.5700,1.0
0,0.5800,1.0
0,0.5900,0.119156
0,0.6000,0.663696
0,0.6100,1.0
0,0.6200,1.0
0,0.6300,1.0
0,0.6400,1.0
0,0.6500,1.0
0,0.6600,1.0
0,0.6700,1.0
0,0.6800,1.0
0,0.6900,1.0
0,0.7000,1.0
0,0.7100,1.0
0,0.7200,1.0
0,0.7300,1.0
0,0.7400,1.0
0,0.7500,1.0
0,0.7600,1.0
0,0.7700,1.0
0,0.7800,1.0
0,0.7900,1.0
0,0.8000,1.0
0,0.8100,1.0
0,0.8200,1.0
0,0.8300,1.0
0,0.8400,1.0
0,0.8500,1.0
0,0.8600,1.0
0,0.8700,1.0
0,0.8800,1.0
0,0.8900,1.0
0,0.9000,1.0
0,0.9100,1.0
0,0.9200,1.0
0,0.9300,1.0
0,0.9400,1.0
0,0.9500,1.0
0,0.9600,1.0
0,0.9700,1.0
0,0.9800,1.0
0,0.9900,1.0
