,r,fc
0,0.0000,0.4197000000000001
0,0.0020,0.4403
0,0.0040,0.4000999999999999
0,0.0060,0.44959999999999994
0,0.0080,0.40020000000000006
0,0.0100,0.44079999999999997
0,0.0120,0.36950000000000005
0,0.0140,0.4105
0,0.0160,0.3703
0,0.0180,0.35009999999999997
0,0.0200,0.3500000000000001
0,0.0220,0.4
0,0.0240,0.3601
0,0.0260,0.39949999999999997
0,0.0280,0.42010000000000003
0,0.0300,0.3497999999999999
0,0.0320,0.3496
0,0.0340,0.39000000000000007
0,0.0360,0.4005
0,0.0380,0.4199
0,0.0400,0.3499000000000001
0,0.0420,0.3999999999999999
0,0.0440,0.3998
0,0.0460,0.3703
0,0.0480,0.40990000000000004
0,0.0500,0.3898
0,0.0520,0.37929999999999997
0,0.0540,0.3903000000000001
0,0.0560,0.3895
0,0.0580,0.39020000000000005
0,0.0600,0.3797
0,0.0620,0.33970000000000006
0,0.0640,0.32980000000000004
0,0.0660,0.35059999999999997
0,0.0680,0.4201
0,0.0700,0.3795
0,0.0720,0.35050000000000003
0,0.0740,0.3406
0,0.0760,0.36979999999999996
0,0.0780,0.33020000000000005
0,0.0800,0.31980000000000003
0,0.0820,0.35059999999999997
0,0.0840,0.36979999999999996
0,0.0860,0.37059999999999993
0,0.0880,0.3105
0,0.0900,0.36
0,0.0920,0.3802000000000001
0,0.0940,0.3297
0,0.0960,0.34019999999999995
0,0.0980,0.3400000000000001
0,0.1000,0.3501999999999999
0,0.1020,0.39019999999999994
0,0.1040,0.33959999999999996
0,0.1060,0.33990000000000004
0,0.1080,0.3502
0,0.1100,0.3397
0,0.1120,0.3296
0,0.1140,0.35979999999999995
0,0.1160,0.3398
0,0.1180,0.3298
0,0.1200,0.32939999999999997
0,0.1220,0.3500999999999999
0,0.1240,0.3398
0,0.1260,0.3297
0,0.1280,0.31969999999999993
0,0.1300,0.3304000000000001
0,0.1320,0.3203999999999999
0,0.1340,0.33069999999999994
0,0.1360,0.3304000000000001
0,0.1380,0.32030000000000003
0,0.1400,0.3095
0,0.1420,0.3298000000000001
0,0.1440,0.32980000000000004
0,0.1460,0.33010000000000006
0,0.1480,0.3197
0,0.1500,0.3295
0,0.1520,0.33030000000000004
0,0.1540,0.32020000000000004
0,0.1560,0.33019999999999994
0,0.1580,0.33020000000000005
0,0.1600,0.31980000000000003
0,0.1620,0.31980000000000003
0,0.1640,0.3299999999999999
0,0.1660,0.32980000000000004
0,0.1680,0.3305
0,0.1700,0.3297
0,0.1720,0.3204
0,0.1740,0.3296
0,0.1760,0.31980000000000003
0,0.1780,0.31980000000000003
0,0.1800,0.32989999999999997
0,0.1820,0.32980000000000004
0,0.1840,0.32980000000000004
0,0.1860,0.3293
0,0.1880,0.3201
0,0.1900,0.3202999999999999
0,0.1920,0.3196
0,0.1940,0.3206
0,0.1960,0.32020000000000004
0,0.1980,0.3191
0,0.2000,0.31980000000000003
0,0.2020,0.3195
0,0.2040,0.3198
0,0.2060,0.32
0,0.2080,0.32020000000000004
0,0.2100,0.32030000000000003
0,0.2120,0.32020000000000004
0,0.2140,0.3201
0,0.2160,0.32
0,0.2180,0.31989999999999996
0,0.2200,0.32030000000000003
0,0.2220,0.32030000000000003
0,0.2240,0.32049999999999995
0,0.2260,0.31960000000000005
0,0.2280,0.3198
0,0.2300,0.31970000000000004
0,0.2320,0.3202
0,0.2340,0.31989999999999996
0,0.2360,0.32020000000000004
0,0.2380,0.3202
0,0.2400,0.32020000000000004
0,0.2420,0.3201
0,0.2440,0.31989999999999996
0,0.2460,0.31999999999999995
0,0.2480,0.31969999999999993
0,0.2500,0.3197
0,0.2520,0.31969999999999993
0,0.2540,0.3204
0,0.2560,0.32049999999999995
0,0.2580,0.3201
0,0.2600,0.31949999999999995
0,0.2620,0.3196
0,0.2640,0.3201
0,0.2660,0.3201
0,0.2680,0.3202999999999999
0,0.2700,0.32030000000000003
0,0.2720,0.31989999999999996
0,0.2740,0.32030000000000003
0,0.2760,0.31960000000000005
0,0.2780,0.31989999999999996
0,0.2800,0.3204000000000001
0,0.2820,0.31969999999999993
0,0.2840,0.31989999999999996
0,0.2860,0.3196
0,0.2880,0.3202
0,0.2900,0.3196
0,0.2920,0.32020000000000004
0,0.2940,0.3201
0,0.2960,0.32020000000000004
0,0.2980,0.31
