,r,fc
0,0.0000,0.36699999999999994
0,0.0100,0.3781999999999999
0,0.0200,0.32839999999999997
0,0.0300,0.3328
0,0.0400,0.3265
0,0.0500,0.32049999999999995
0,0.0600,0.3004
0,0.0700,0.34
0,0.0800,0.2889
0,0.0900,0.29810000000000003
0,0.1000,0.30090000000000006
0,0.1100,0.29790000000000005
0,0.1200,0.2619
0,0.1300,0.2705
0,0.1400,0.27259999999999995
0,0.1500,0.2513
0,0.1600,0.24140000000000003
0,0.1700,0.28259999999999996
0,0.1800,0.2868
0,0.1900,0.2812
0,0.2000,0.28740000000000004
0,0.2100,0.27880000000000005
0,0.2200,0.282
0,0.2300,0.2769
0,0.2400,0.2788
0,0.2500,0.2779
0,0.2600,0.27130000000000004
0,0.2700,0.2776
0,0.2800,0.2775
0,0.2900,0.2692
0,0.3000,0.27099999999999996
0,0.3100,0.27680000000000005
0,0.3200,0.2779
0,0.3300,0.272
0,0.3400,0.2700000000000001
0,0.3500,0.2781
0,0.3600,0.2728
0,0.3700,0.2703
0,0.3800,0.27040000000000003
0,0.3900,0.2725
0,0.4000,0.2706
0,0.4100,0.2794
0,0.4200,0.26920000000000005
0,0.4300,0.26930000000000004
0,0.4400,0.2719
0,0.4500,0.2724
0,0.4600,0.2703
0,0.4700,0.2695
0,0.4800,0.26890000000000003
0,0.4900,0.2692
0,0.5000,0.2729
0,0.5100,0.2721
0,0.5200,0.2681
0,0.5300,0.26839999999999997
0,0.5400,0.2704
0,0.5500,0.2718
0,0.5600,0.26199999999999996
0,0.5700,0.2696
0,0.5800,0.2698
0,0.5900,0.2683
0,0.6000,0.2710000000000001
0,0.6100,0.2688
0,0.6200,0.26910000000000006
0,0.6300,0.2619
0,0.6400,0.27140000000000003
0,0.6500,0.2693
0,0.6600,0.2686
0,0.6700,0.2685
0,0.6800,0.26169999999999993
0,0.6900,0.2611
0,0.7000,0.26830000000000004
0,0.7100,0.2696
0,0.7200,0.2686
0,0.7300,0.26239999999999997
0,0.7400,0.2705
0,0.7500,0.2692
0,0.7600,0.26940000000000003
0,0.7700,0.2701
0,0.7800,0.2667
0,0.7900,0.26269999999999993
0,0.8000,0.26870000000000005
0,0.8100,0.2681
0,0.8200,0.2725
0,0.8300,0.26170000000000004
0,0.8400,0.26899999999999996
0,0.8500,0.27130000000000004
0,0.8600,0.2681
0,0.8700,0.2675
0,0.8800,0.2711
0,0.8900,0.27020000000000005
0,0.9000,0.2681
0,0.9100,0.2686
0,0.9200,0.2682
0,0.9300,0.27019999999999994
0,0.9400,0.26940000000000003
0,0.9500,0.26799999999999996
0,0.9600,0.27190000000000003
0,0.9700,0.2675
0,0.9800,0.2676
0,0.9900,0.26899999999999996
