,r,fc
0,0.0000,0.4099999999999999
0,0.0050,0.41239999999999993
0,0.0100,0.6104
0,0.0150,0.4200000000000001
0,0.0200,0.48
0,0.0250,0.45060000000000017
0,0.0300,0.4012999999999999
0,0.0350,0.3500000000000001
0,0.0400,0.4200000000000001
0,0.0450,0.30079999999999996
0,0.0500,0.3999999999999999
0,0.0550,0.4600000000000001
0,0.0600,0.3999999999999999
0,0.0650,0.31999999999999995
0,0.0700,0.35999999999999993
0,0.0750,0.36999999999999994
0,0.0800,0.42160000000000003
0,0.0850,0.43
0,0.0900,0.4900000000000002
0,0.0950,0.41129999999999994
0,0.1000,0.4213000000000001
0,0.1050,0.33269999999999994
0,0.1100,0.35999999999999993
0,0.1150,0.4200000000000001
0,0.1200,0.36999999999999994
0,0.1250,0.29
0,0.1300,0.39000000000000007
0,0.1350,0.25
0,0.1400,0.22
0,0.1450,0.3906
0,0.1500,0.35999999999999993
0,0.1550,0.19000000000000003
0,0.1600,0.30999999999999994
0,0.1650,0.3606999999999999
0,0.1700,0.29
0,0.1750,0.39000000000000007
0,0.1800,0.44
0,0.1850,0.24
0,0.1900,0.39000000000000007
0,0.1950,0.26
0,0.2000,0.30999999999999994
0,0.2050,0.38000000000000006
0,0.2100,0.27210000000000006
0,0.2150,0.29
0,0.2200,0.30999999999999994
0,0.2250,0.30999999999999994
0,0.2300,0.28000000000000014
0,0.2350,0.24
0,0.2400,0.38000000000000006
0,0.2450,0.3
0,0.2500,0.24
0,0.2550,0.36999999999999994
0,0.2600,0.3402000000000001
0,0.2650,0.33
0,0.2700,0.19999999999999996
0,0.2750,0.28000000000000014
0,0.2800,0.19999999999999996
0,0.2850,0.23000000000000004
0,0.2900,0.19000000000000003
0,0.2950,0.17999999999999997
0,0.3000,0.19999999999999996
0,0.3050,0.26
0,0.3100,0.22340000000000004
0,0.3150,0.24
0,0.3200,0.17999999999999997
0,0.3250,0.2207
0,0.3300,0.29
0,0.3350,0.3
0,0.3400,0.24
0,0.3450,0.28000000000000014
0,0.3500,0.23000000000000004
0,0.3550,0.07999999999999999
0,0.3600,0.15
0,0.3650,0.28000000000000014
0,0.3700,0.09999999999999998
0,0.3750,0.13
0,0.3800,0.15
0,0.3850,0.19999999999999996
0,0.3900,0.25
0,0.3950,0.19000000000000003
0,0.4000,0.13
0,0.4050,0.28000000000000014
0,0.4100,0.22070000000000004
0,0.4150,0.26
0,0.4200,0.14000000000000007
0,0.4250,0.22
0,0.4300,0.23000000000000004
0,0.4350,0.15999999999999998
0,0.4400,0.30999999999999994
0,0.4450,0.19090000000000004
0,0.4500,0.07999999999999999
0,0.4550,0.22
0,0.4600,0.07999999999999999
0,0.4650,0.14000000000000007
0,0.4700,0.09999999999999998
0,0.4750,0.241
0,0.4800,0.22
0,0.4850,0.25
0,0.4900,0.22
0,0.4950,0.17999999999999997
0,0.5000,0.09999999999999998
0,0.5050,0.15999999999999998
0,0.5100,0.15
0,0.5150,0.06
0,0.5200,0.13
0,0.5250,0.09999999999999998
0,0.5300,0.07999999999999999
0,0.5350,0.29
0,0.5400,0.17000000000000004
0,0.5450,0.12
0,0.5500,0.09999999999999998
0,0.5550,0.07999999999999999
0,0.5600,0.019999999999999997
0,0.5650,0.019999999999999997
0,0.5700,0.019999999999999997
0,0.5750,0.12
0,0.5800,0.07999999999999999
0,0.5850,0.06
0,0.5900,0.07999999999999999
0,0.5950,0.08999999999999998
0,0.6000,0.12
0,0.6050,0.11
0,0.6100,0.07999999999999999
0,0.6150,0.06
0,0.6200,0.019999999999999997
0,0.6250,0.06
0,0.6300,0.07999999999999999
0,0.6350,0.0
0,0.6400,0.09999999999999998
0,0.6450,0.12
0,0.6500,0.07999999999999999
0,0.6550,0.039999999999999994
0,0.6600,0.019999999999999997
0,0.6650,0.07999999999999999
0,0.6700,0.07999999999999999
0,0.6750,0.09999999999999998
0,0.6800,0.0601
0,0.6850,0.12
0,0.6900,0.07999999999999999
0,0.6950,0.07999999999999999
