,r,fc
0,0.0000,0.77076
0,0.0020,0.72976
0,0.0040,0.55054
0,0.0060,0.6693499999999999
0,0.0080,0.61948
0,0.0100,0.58946
0,0.0120,0.5605500000000001
0,0.0140,0.47970000000000007
0,0.0160,0.43959000000000004
0,0.0180,0.50046
0,0.0200,0.0
0,0.0220,0.0
0,0.0240,0.28987999999999997
0,0.0260,0.0
0,0.0280,0.0
0,0.0300,0.0
0,0.0320,0.0
0,0.0340,0.0
0,0.0360,0.0
0,0.0380,0.0
0,0.0400,0.0
0,0.0420,0.0
0,0.0440,0.0
0,0.0460,0.0
0,0.0480,0.0
0,0.0500,0.0
0,0.0520,0.0
0,0.0540,0.0
0,0.0560,0.0
0,0.0580,0.0
0,0.0600,0.0
