,r,fc
0,0.0000,0.39980000000000004
0,0.0020,0.3997
0,0.0040,0.4303
0,0.0060,0.4301
0,0.0080,0.3895
0,0.0100,0.3897
0,0.0120,0.3801
0,0.0140,0.37979999999999997
0,0.0160,0.4295999999999999
0,0.0180,0.38010000000000005
0,0.0200,0.4
0,0.0220,0.43029999999999996
0,0.0240,0.4301
0,0.0260,0.40020000000000006
0,0.0280,0.45020000000000004
0,0.0300,0.35980000000000006
0,0.0320,0.36029999999999995
0,0.0340,0.4097
0,0.0360,0.4101000000000001
0,0.0380,0.36989999999999995
0,0.0400,0.34009999999999996
0,0.0420,0.3896
0,0.0440,0.3801
0,0.0460,0.40009999999999996
0,0.0480,0.3696
0,0.0500,0.3600999999999999
0,0.0520,0.34980000000000006
0,0.0540,0.39
0,0.0560,0.37020000000000003
0,0.0580,0.39019999999999994
0,0.0600,0.35960000000000003
0,0.0620,0.34009999999999996
0,0.0640,0.33990000000000004
0,0.0660,0.35980000000000006
0,0.0680,0.3504
0,0.0700,0.3801
0,0.0720,0.3403
0,0.0740,0.3397
0,0.0760,0.3398999999999999
0,0.0780,0.35019999999999996
0,0.0800,0.3395
0,0.0820,0.38980000000000004
0,0.0840,0.4296000000000001
0,0.0860,0.3403
0,0.0880,0.34
0,0.0900,0.3505
0,0.0920,0.3604999999999999
0,0.0940,0.33
0,0.0960,0.3898
0,0.0980,0.3703000000000001
0,0.1000,0.37970000000000004
0,0.1020,0.34989999999999993
0,0.1040,0.34990000000000004
0,0.1060,0.33020000000000005
0,0.1080,0.35999999999999993
0,0.1100,0.3305
0,0.1120,0.3404
0,0.1140,0.3403
0,0.1160,0.32959999999999995
0,0.1180,0.3299
0,0.1200,0.3305
0,0.1220,0.32959999999999995
0,0.1240,0.34010000000000007
0,0.1260,0.3305
0,0.1280,0.33020000000000005
0,0.1300,0.33039999999999997
0,0.1320,0.31989999999999996
0,0.1340,0.33990000000000004
0,0.1360,0.33
0,0.1380,0.32989999999999997
0,0.1400,0.31989999999999996
0,0.1420,0.32980000000000004
0,0.1440,0.3103
0,0.1460,0.3301000000000001
0,0.1480,0.3301
0,0.1500,0.3202
0,0.1520,0.32989999999999997
0,0.1540,0.32020000000000004
0,0.1560,0.3299
0,0.1580,0.3299
0,0.1600,0.32989999999999997
0,0.1620,0.32989999999999997
0,0.1640,0.3
0,0.1660,0.33010000000000006
0,0.1680,0.33010000000000006
0,0.1700,0.32989999999999997
0,0.1720,0.3299
0,0.1740,0.3295
0,0.1760,0.33030000000000004
0,0.1780,0.33
0,0.1800,0.3296
0,0.1820,0.31999999999999995
0,0.1840,0.3297
0,0.1860,0.3201
0,0.1880,0.3299
0,0.1900,0.32020000000000004
0,0.1920,0.3202
0,0.1940,0.3202999999999999
0,0.1960,0.3201
0,0.1980,0.31980000000000003
0,0.2000,0.3204
0,0.2020,0.31989999999999996
0,0.2040,0.31970000000000004
0,0.2060,0.32030000000000003
0,0.2080,0.31989999999999996
0,0.2100,0.3197
0,0.2120,0.3202
0,0.2140,0.32
0,0.2160,0.32059999999999994
0,0.2180,0.3201
0,0.2200,0.3204999999999999
0,0.2220,0.3197
0,0.2240,0.3198
0,0.2260,0.32020000000000004
0,0.2280,0.3202
0,0.2300,0.3197
0,0.2320,0.3204000000000001
0,0.2340,0.3201
0,0.2360,0.31989999999999996
0,0.2380,0.3201
0,0.2400,0.31989999999999996
0,0.2420,0.32020000000000004
0,0.2440,0.31989999999999996
0,0.2460,0.3198
0,0.2480,0.32020000000000004
0,0.2500,0.31989999999999996
0,0.2520,0.3201
0,0.2540,0.3197
0,0.2560,0.32
0,0.2580,0.3201
0,0.2600,0.32020000000000004
0,0.2620,0.31989999999999996
0,0.2640,0.32049999999999995
0,0.2660,0.32020000000000004
0,0.2680,0.31999999999999995
0,0.2700,0.3204
0,0.2720,0.3201
0,0.2740,0.3197
0,0.2760,0.32
0,0.2780,0.3204999999999999
0,0.2800,0.31989999999999996
0,0.2820,0.3199
0,0.2840,0.31999999999999995
0,0.2860,0.31969999999999993
0,0.2880,0.32
0,0.2900,0.3098
0,0.2920,0.30959999999999993
0,0.2940,0.31980000000000003
0,0.2960,0.3002
0,0.2980,0.30999999999999994
